2026-05-10 22:03:49,352 | INFO | main_requests | 已写入 C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.csv、C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.json；SQLite 表 douban_top250 -> C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.db
2026-05-10 22:05:04,082 | INFO | main_requests | -------- 第 1 页 ---------
2026-05-10 22:05:07,223 | ERROR | main_requests | 列表页失败 start=0: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D0%26filter%3D
2026-05-10 22:05:08,226 | INFO | main_requests | -------- 第 2 页 ---------
2026-05-10 22:05:10,556 | ERROR | main_requests | 列表页失败 start=25: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D25%26filter%3D
2026-05-10 22:05:11,559 | INFO | main_requests | -------- 第 3 页 ---------
2026-05-10 22:05:13,409 | ERROR | main_requests | 列表页失败 start=50: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D50%26filter%3D
2026-05-10 22:05:14,411 | INFO | main_requests | -------- 第 4 页 ---------
2026-05-10 22:05:16,855 | ERROR | main_requests | 列表页失败 start=75: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D75%26filter%3D
2026-05-10 22:05:17,858 | INFO | main_requests | -------- 第 5 页 ---------
2026-05-10 22:05:19,529 | ERROR | main_requests | 列表页失败 start=100: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D100%26filter%3D
2026-05-10 22:05:20,531 | INFO | main_requests | -------- 第 6 页 ---------
2026-05-10 22:05:23,192 | ERROR | main_requests | 列表页失败 start=125: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D125%26filter%3D
2026-05-10 22:05:24,194 | INFO | main_requests | -------- 第 7 页 ---------
