2026-05-11 18:13:15,203 | ERROR | main_selenium | 未找到影片列表: C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.json
2026-05-12 14:26:51,981 | INFO | main_selenium | [1/250] 肖申克的救赎 The Shawshank Redemption
2026-05-12 14:27:09,779 | WARNING | main_selenium | 详情页加载超时: https://movie.douban.com/subject/1292052/
2026-05-12 14:27:42,562 | WARNING | main_selenium | 短评页无评论项: subject=1292052
2026-05-12 14:27:42,568 | INFO | main_selenium | [2/250] 霸王别姬
2026-05-12 14:28:00,746 | WARNING | main_selenium | 详情页加载超时: https://movie.douban.com/subject/1291546/
2026-05-12 14:28:34,566 | WARNING | main_selenium | 短评页无评论项: subject=1291546
2026-05-12 14:28:34,567 | INFO | main_selenium | [3/250] 泰坦尼克号 Titanic
2026-05-12 14:28:51,143 | WARNING | main_selenium | 详情页加载超时: https://movie.douban.com/subject/1292722/
2026-05-12 14:44:46,509 | INFO | main_selenium | [1/250] 肖申克的救赎 The Shawshank Redemption
2026-05-12 14:45:04,347 | WARNING | main_selenium | 海报下载失败 肖申克的救赎 The Shawshank Redemption: 418 Client Error:  for url: https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.webp
2026-05-12 14:45:26,755 | INFO | main_selenium | [2/250] 霸王别姬
2026-05-12 14:45:34,579 | WARNING | main_selenium | 海报下载失败 霸王别姬: 418 Client Error:  for url: https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911205318.webp
2026-05-12 14:45:52,079 | INFO | main_selenium | [3/250] 泰坦尼克号 Titanic
2026-05-12 14:55:03,534 | INFO | main_selenium | 跳过已完成 [1/250] 肖申克的救赎 The Shawshank Redemption
2026-05-12 14:55:03,534 | INFO | main_selenium | 跳过已完成 [2/250] 霸王别姬
2026-05-12 14:55:03,534 | INFO | main_selenium | [3/250] 泰坦尼克号 Titanic
2026-05-12 14:55:35,956 | INFO | main_selenium | [1/250] 肖申克的救赎 The Shawshank Redemption
2026-05-12 14:56:03,592 | INFO | main_selenium | [2/250] 霸王别姬
2026-05-12 14:56:28,397 | INFO | main_selenium | [3/250] 泰坦尼克号 Titanic
2026-05-12 14:56:50,977 | INFO | main_selenium | [4/250] 阿甘正传 Forrest Gump
2026-05-12 14:57:14,242 | INFO | main_selenium | [5/250] 千与千寻 千と千尋の神隠し
2026-05-12 14:57:38,238 | INFO | main_selenium | [6/250] 美丽人生 La vita è bella
2026-05-12 14:58:02,417 | INFO | main_selenium | [7/250] 星际穿越 Interstellar
2026-05-12 14:58:24,992 | INFO | main_selenium | [8/250] 这个杀手不太冷 Léon
2026-05-12 14:58:48,853 | INFO | main_selenium | [9/250] 盗梦空间 Inception
2026-05-12 14:59:11,971 | INFO | main_selenium | [10/250] 楚门的世界 The Truman Show
2026-05-12 14:59:34,116 | INFO | main_selenium | [11/250] 辛德勒的名单 Schindler's List
2026-05-12 14:59:57,145 | INFO | main_selenium | [12/250] 忠犬八公的故事 Hachi: A Dog's Tale
2026-05-12 15:00:22,051 | INFO | main_selenium | [13/250] 海上钢琴师 La leggenda del pianista sull'oceano
2026-05-12 15:00:45,630 | INFO | main_selenium | [14/250] 疯狂动物城 Zootopia
2026-05-12 15:01:07,628 | INFO | main_selenium | [15/250] 三傻大闹宝莱坞 3 Idiots
2026-05-12 15:01:29,929 | INFO | main_selenium | [16/250] 机器人总动员 WALL·E
2026-05-12 15:01:53,596 | INFO | main_selenium | [17/250] 放牛班的春天 Les choristes
2026-05-12 15:02:15,384 | INFO | main_selenium | [18/250] 无间道 無間道
2026-05-12 15:02:36,781 | INFO | main_selenium | [19/250] 控方证人 Witness for the Prosecution
2026-05-12 15:03:01,934 | INFO | main_selenium | [20/250] 寻梦环游记 Coco
2026-05-12 15:03:23,549 | INFO | main_selenium | [21/250] 大话西游之大圣娶亲 西遊記大結局之仙履奇緣
2026-05-12 15:03:45,470 | INFO | main_selenium | [22/250] 熔炉 도가니
2026-05-12 15:04:09,074 | INFO | main_selenium | [23/250] 触不可及 Intouchables
2026-05-12 15:04:31,412 | INFO | main_selenium | [24/250] 教父 The Godfather
2026-05-12 15:04:55,810 | INFO | main_selenium | [25/250] 末代皇帝 The Last Emperor
2026-05-12 15:05:17,848 | INFO | main_selenium | [26/250] 哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone
2026-05-12 15:05:40,542 | INFO | main_selenium | [27/250] 当幸福来敲门 The Pursuit of Happyness
2026-05-12 15:06:04,114 | INFO | main_selenium | [28/250] 龙猫 となりのトトロ
2026-05-12 15:06:28,307 | INFO | main_selenium | [29/250] 活着
2026-05-12 15:06:50,087 | INFO | main_selenium | [30/250] 怦然心动 Flipped
2026-05-12 15:07:10,775 | INFO | main_selenium | [31/250] 蝙蝠侠：黑暗骑士 The Dark Knight
2026-05-12 15:07:33,804 | INFO | main_selenium | [32/250] 指环王3：王者无敌 The Lord of the Rings: The Return of the King
2026-05-12 15:07:56,528 | INFO | main_selenium | [33/250] 我不是药神
2026-05-12 15:08:21,482 | INFO | main_selenium | [34/250] 乱世佳人 Gone with the Wind
2026-05-12 15:08:44,900 | INFO | main_selenium | [35/250] 飞屋环游记 Up
