2026-05-10 18:22:08,890 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 18:22:09,017 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=25&filter=
2026-05-10 18:22:09,179 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=50&filter=
2026-05-10 18:22:10,775 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 18:22:10,930 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=50&filter=
2026-05-10 18:22:11,174 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=25&filter=
2026-05-10 18:22:12,830 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=50&filter=
2026-05-10 18:22:13,756 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=25&filter=
2026-05-10 18:22:13,785 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=0&filter=
2026-05-10 18:22:15,851 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=75&filter=
2026-05-10 18:22:16,611 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=100&filter=
2026-05-10 18:22:16,750 | WARNING | requests_spider_concurrent | status=403, retry=1, url=https://movie.douban.com/top250?start=125&filter=
2026-05-10 18:22:18,229 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=100&filter=
2026-05-10 18:22:18,631 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=75&filter=
2026-05-10 18:22:19,333 | WARNING | requests_spider_concurrent | status=403, retry=2, url=https://movie.douban.com/top250?start=125&filter=
2026-05-10 18:22:20,922 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=100&filter=
2026-05-10 18:22:21,502 | WARNING | requests_spider_concurrent | status=403, retry=3, url=https://movie.douban.com/top250?start=75&filter=
